2022 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
2022,1,FF GGGG 2022 RRRR,"Blue:FF, green:DDDD, blue:2 0 22, red:DDDD",(Any 1 Suit),X25
2022,2,222 000 2222 2222,"Green:222, blue:000, red:2222, blue:2222",(Any 3 Suits),X30
2022,3,FFFF 2022 222 222,"Blue:FFFF, green:2, blue:0, green:22, red:222, blue:222",(Any 3 Suits),X30
2022,4,NN EEE 2022 WWW SS,Blue:NN EEE 2022 WWW SS,"(Any 1 Suit, Concealed)",C30
2022,5,FF 2022 2022 2022,"Blue:FF, green:2, blue:0, green:22, red:2, blue:0, red:22, blue:2 0 22","(Any 3 Suits, Concealed)",C85
,,,,,
,,,,,
2468,1,FFF 22 44 666 8888,Blue:FFF 22 44 666 8888,(Any 1 Suit),X25
2468,2,(22 46 88) 2222 2222,"Green:22 4 6 88, red:1111, blue:1111","(Any 3 Suits, Kongs Any same Evens)",X30
2468,3,(222 444) (6666 8888) or (222 444) (6666) (8888),"Green:222 444, red:6666 8888",(Any 3 Suits),X25
2468,4,(2222 44 6666) 88 88,"Green:2222 44 6666, red:88, blue:88",(Any 3 Suits),X30
2468,5,(22 444) (66 888) (DDDD),"Green:22 444, red:66 888, blue:DDDD",(Any 1 or 3 Suits),X25
2468,6,FFF 2222 FFF 8888,"Blue:FFF, green:2222, blue:FFF, red:8888",(Any 2 Suits),X25
2468,7,(22 444) (44 666) (8888),"Green:22 444, red:44 666, blue:8888",(Any 3 Suits),X25
2468,8,FF (246 888) (246 888),"Blue:FF, green:2 4 6 888, red:2 4 6 888",(Any 2 Suits),C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,(FFF 1111) (FFF 1111),"Blue:FFF, green:1111, blue:FFF, red:1111",(Any 2 Suits),X25
ANY LIKE NUMBERS,2,(111 DD) (111 DD) 1111,"Green:111 DD, red:111 DD, blue:1111",(Any 3 Suits),X25
ANY LIKE NUMBERS,3,FF 1111 DDDD 1111,"Blue:FF, green:1111, red:DDDD, blue:1111",(Any 3 Suits),X25
,,,,,
,,,,,
QUINTS,1,DDDDD NNNN 11111,Blue:DDDDD NNNN 11111,"(Any Dragon, Any Wind, Any Like Nos.)",X40
QUINTS,2,22 444 6666 88888,Blue:22 444 6666 88888,(Any 1 Suit),X40
QUINTS,3,(1122) 33333 33333,"Green:11 22, red:33333, blue:33333","(Any 3 Suits, 3 Consec. Nos.)",X45
QUINTS,4,FFFF 11111 22222,Blue:FFFF 11111 22222,"(Any 1 Suit, Consec. Num)",X45
,,,,,
,,,,,
CONSECUTIVE RUN,1,55 66 777 888 9999,Blue:55 66 777 888 9999,"(Any 1 Suit, Any Consec. Nos.)",X25
CONSECUTIVE RUN,2,FFF 1111 FFF 2222,"Blue:FFF, green:1111, blue:FFF, red:2222",(Any 2 Suits Consec. Nums),X25
CONSECUTIVE RUN,3,FF 1111 2222 3333,"Blue:FF, green:1111, red:2222, blue:3333",(Any 1 or 3 Suits),X25
CONSECUTIVE RUN,4,(11 222) (11 222) DDDD,"Green:11 222, red:11 222, blue:DDDD",(Any 3 Suits),X25
CONSECUTIVE RUN,5,(111 222) (3333 4444),"Green:111 222, red:3333 4444",(Any 1 or 2 Suits),X25
CONSECUTIVE RUN,6,(1111 3333 22) 22 22,"Green:1111 22, red:22, blue:22, green:3333","(Any 3 Suits, Any Consec. Nos.)",X30
CONSECUTIVE RUN,7,FFFF 11 22 333 DDD,Blue:FFFF 11 22 333 DDD,(Any 1 Suit),X25
CONSECUTIVE RUN,8,(111 2 333) (111 2 333),"Green:111 2 333, red:111 2 333","(Any 2 Suits, Any Consec. Nos., Concealed)",C30
,,,,,
,,,,,
13579,1,(11 333) (5555) (777 99),Blue:(11 333) (5555) (777 99),(Any 1 or 3 Suits),X25
13579,2,FF 1111 3333 5555 or 5/7/9,"Blue:FF, green:1111, red:3333, blue:5555",(Any 3 Suits),X25
13579,3,(111 333) (3333 5555) or 5/7/9,"Green:111 333, red:3333 5555",(Any 2 Suits),X25
13579,4,FFF (1111 9999) (357),"Blue:FFF, green:1111, red:3 5 7, green:9999",(Any 2 Suits),X25
13579,5,1111 333 5555 DDD or 5/7/9,Blue:1111 333 5555 DDD or 5/7/9,(Any 1 Suit),X25
13579,6,(11 333) (11 333) (5555),"Green:11 333, red:11 333, blue:5555","(Any 3 Suits, Any Consec. Nos.)",X25
13579,7,FF (1 33 555) (5 77 999),"Blue:FF, green:1 33 555, red:5 77 999","(Any 2 Suits, Concealed)",C30
,,,,,
,,,,,
WINDS - DRAGONS,1,NNNN EEEE WWWW SS,Blue:NNNN EEEE WWWW SS,,X25
WINDS - DRAGONS,2,FFF DDDD DDD DDDD,"Blue:FFF, green:DDDD, red:DDD, blue:DDDD","(Any 3 Suits, Matching Dragons)",X25
WINDS - DRAGONS,3,FFFF NNNN E W SSSS,Blue:FFFF NNNN E W SSSS,,X25
WINDS - DRAGONS,4,1111 NN E W SS 1111,"Green:1111, blue:NN E W SS, red:1111","(Any 2 Suits, Any like nums)",X30
WINDS - DRAGONS,5,NNNN SSSS 1 22 333,Blue:NNNN SSSS 1 22 333,(Any 1 Suit),X25
WINDS - DRAGONS,6,EEEE WWWW 1 22 333,Blue:EEEE WWWW 1 22 333,(Any 1 Suit),X25
WINDS - DRAGONS,7,NNN E W SSS DDD DDD,"Blue:NNN E W SSS, green:DDD, red:DDD","(Any 2 Suits, Matching Dragons, Any Like Nos., Concealed)",C30
,,,,,
,,,,,
