2021 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
2021,1,FF 2021 2222 1111,"Blue:FF, green:2021, red:2222, blue:1111",(Any 3 Suits),X25
2021,2,222 0000 222 1111,"Green:222, blue:0000, red:222 1111",(Any 2 Suits),X25
2021,3,FFFF 2222 0000 21,Blue:FFFF 2222 0000 21,(Any 1 Suit),X30
2021,4,NNN EE WW SSS 2021,Blue:NNN EE WW SSS 2021,"(Any 1 Suit, Concealed)",C30
,,,,,
,,,,,
2468,1,FFFF 22 444 666 88,Blue:FFFF 22 444 666 88,(Any 1 Suit),X25
2468,2,222 4444 666 8888,"Green:222 4444, red:666 8888",(Any 2 Suits),X25
2468,3,DDDD 22 44 666 888,Blue:DDDD 22 44 666 888,"(Any 1 Suit, Matching Dragons)",X25
2468,4,FF 2222 44 66 8888,"Blue:FF, green:2222, red:44 66, green:8888",(Any 2 Suits),X25
2468,5,222 444 6666 8888,"Green:222 444, red:6666, blue:8888",(Any 3 Suits),X25
2468,6,2222 4444 6666 88,Blue:2222 4444 6666 88,(Any 1 Suit),X25
2468,7,FF 2 4 6 8 DDDD DDDD,"Blue:FF, green:2 4 6 8, red:DDDD, blue:DDDD","(Any 3 Suits, Matching Dragons)",X30
2468,8,222 4 6 888 111 111,"Green:222 4 6 888, red:111, blue:111","(Any 3 Suits, Any Like Nos., Concealed)",C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,FF 1111 1111 NEWS,"Blue:FF, green:1111, red:1111, blue:NEWS","(Any 2 Suits, Any Like Nos.)",X25
ANY LIKE NUMBERS,2,FFFF 1111 11 1111,"Blue:FFFF, green:1111, red:11, blue:1111","(Any 3 Suits, Any Like Nos.)",X25
ANY LIKE NUMBERS,3,111 DDDD 111 DDDD,"Green:111 DDDD, red:111 DDDD","(Any 2 Suits, Matching Dragons, Any Like Nos.)",X25
,,,,,
,,,,,
QUINTS,1,NNNNN 1111 FFFFF,Blue:NNNNN 1111 FFFFF,"(Any 1 Suit, Any Like Nos.)",X40
QUINTS,2,11111 22 33 44444,"Green:11111, red:22 33, green:44444","(Any 2 Suits, Any Consec. Nos.)",X45
QUINTS,3,11111 2222 33333,"Green:11111, red:2222, blue:33333","(Any 1 or 3 Suits, Any Consec. Nos.)",X45
QUINTS,4,11 22222 11 22222,"Green:11 22222, red:11 22222","(Any 2 Suits, Any Consec. Nos.)",X45
,,,,,
,,,,,
CONSECUTIVE RUN,1,22 333 4444 555 66,Blue:22 333 4444 555 66,"(Any 1 Suit, Any Consec. Nos.)",X25
CONSECUTIVE RUN,2,111 2222 333 4444,"Green:111 2222, red:333 4444","(Any 2 Suits, Any Consec. Nos.)",X25
CONSECUTIVE RUN,3,1 22 333 4444 DDDD,Blue:1 22 333 4444 DDDD,"(Any 1 Suit, Matching Dragons, Any Consec. Nos.)",X25
CONSECUTIVE RUN,4,FFFFF 11 222 3333,Blue:FFFFF 11 222 3333,"(Any 1 Suit, Any Consec. Nos.)",X25
CONSECUTIVE RUN,5,FF 1111 2222 3333,"Blue:FF, green:1111, red:2222, blue:3333","(Any 1 or 3 Suits, Any Consec. Nos.)",X25
CONSECUTIVE RUN,6,11 222 11 222 3333,"Green:11 222, red:11 222, blue:3333","(Any 3 Suits, Any Consec. Nos.)",X25
CONSECUTIVE RUN,7,11 22 33 4444 4444,"Green:11 22 33, red:4444, blue:4444","(Any 3 Suits, Any Consec. Nos.)",X30
CONSECUTIVE RUN,8,FF 111 222 DDD DDD,"Blue:FF, green:111 222, red:DDD, blue:DDD","(Any 3 Suits, Matching Dragons, Any Consec. Nos., Concealed)",C30
,,,,,
,,,,,
13579,1,11 333 5555 777 99,Blue:11 333 5555 777 99,(Any 1 or 3 Suits),X25
13579,2,FF 11 333 5555 DDD,Blue:FF 11 333 5555 DDD,"(Any 1 Suit, Matching Dragons, Any Consec. Nos.)",X25
13579,3,111 3333 333 5555,"Green:111 3333, red:333 5555","(Any 2 Suits, Any Consec. Nos.)",X25
13579,4,11 333 333 55 DDDD,"Green:11 333, red:333 55, blue:DDDD","(Any 3 Suits, Matching Dragons, Any Consec. Nos.)",X25
13579,5,FFFF 1111 33 5555,Blue:FFFF 1111 33 5555,"(Any 1 Suit, Any Consec. Nos.)",X25
13579,6,11 33 55 7777 9999,"Green:11 33 55, red:7777, blue:9999","(Any 3 Suits, Any Consec. Nos.)",X30
13579,7,111 333 111 333 55,"Green:111 333, red:111 333, blue:55","(Any 3 Suits, Any Consec. Nos., Concealed)",C30
,,,,,
,,,,,
WINDS - DRAGONS,1,NNNN EEE WWW SSSS,Blue:NNNN EEE WWW SSSS,,X25
WINDS - DRAGONS,2,NNN SSS 11 11 1111,"Blue:NNN SSS, green:11, red:11, blue:1111","(Any 3 Suits, Any Like Nos.)",X25
WINDS - DRAGONS,3,FFFF NNN EE WW SSS,Blue:FFFF NNN EE WW SSS,,X25
WINDS - DRAGONS,4,FF DDDD NNNN SSSS,"Blue:FF, red:DDDD, blue:NNNN SSSS",,X25
WINDS - DRAGONS,5,FF DDDD EEEE WWWW,"Blue:FF, green:DDDD, blue:EEEE WWWW",,X25
WINDS - DRAGONS,6,FF NNNN SSSS 2021,"Blue:FF NNNN SSSS, green:2021",(Any 3 Suits),X25
WINDS - DRAGONS,7,NNN E W SSS DDD DDD,"Blue:NNN E W SSS, green:DDD, red:DDD","(Any 2 Suits, Matching Dragons, Concealed)",C30
,,,,,
,,,,,
369,1,333 6666 666 9999,"Green:333 6666, red:666 9999",(Any 2 Suits),X25
369,2,3333 666 9999 DDD,Blue:3333 666 9999 DDD,"(Any 1 Suit, Matching Dragons)",X25
369,3,3333 6666 999 999,"Green:3333 6666, red:999, blue:999",(Any 3 Suits),X25
369,4,FFFFF 33 666 9999,Blue:FFFFF 33 666 9999,(Any 1 Suit),X25
369,5,33 66 666 999 DDDD,"Green:33 66, red:666 999, blue:DDDD","(Any 3 Suits, Matching Dragons)",X25
369,6,FF 3333 6666 9999,Blue:FF 3333 6666 9999,(Any 1 or 3 Suits),X25
369,7,333 666 333 666 99,"Green:333 666, red:333 666, blue:99","(Any 3 Suits, Concealed)",C30
,,,,,
,,,,,
SINGLES AND PAIRS,1,FF NN E W SS 11 11 11,"Blue:FF NN E W SS, green:11, red:11, blue:11","(Any 3 Suits, Any Like Nos., Concealed)",C50
SINGLES AND PAIRS,2,11 3 11 33 5 11 33 55,"Green:11 3, red:11 33 5, blue:11 33 55","(Any 3 Suits, Concealed)",C50
SINGLES AND PAIRS,3,FF 11 22 33 44 55 66,Blue:FF 11 22 33 44 55 66,"(Any 1 Suit, Any Consec. Nos., Concealed)",C50
SINGLES AND PAIRS,4,FF 22 44 66 88 11 11,"Blue:FF, green:22 44 66 88, red:11, blue:11","(Any 3 Suits, Any Like Nos., Concealed)",C50
SINGLES AND PAIRS,5,FF 33 66 99 33 66 99,"Blue:FF, red:33 66 99, blue:33 66 99","(Any 3 Suits, Concealed)",C50
SINGLES AND PAIRS,6,FF 22 1 0 22 1 0 22 1 0,"Blue:FF, green:22 1, blue:0, red:22 1, blue:0 22 1 0","(Any 3 Suits, Concealed)",C75
