2020 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
2020,1,FF 2020 2222 2222,"Blue:FF 2020, red:2222, blue:2222",(Any 3 Suits),X25
2020,2,FF DDDD 2020 DDDD,"Blue:FF 2020, green:DDDD, red:DDDD",(Any 1 Suit),X25
2020,3,FFFFF 2020 222 22,"Blue:FFFFF 2020, red:222, blue:22",(Any 3 Suits),X25
2020,4,NN EEE WWW SS 2020,Blue:NN EEE WWW SS 2020,"(Any 1 Suit, Concealed)",C30
,,,,,
,,,,,
2468,1,FFFF 2 44 666 8888,Blue:FFFF 2 44 666 8888,(Any 1 Suit),X25
2468,2,22 44 666 888 DDDD,"Green:22 44, red:666 888, blue:DDDD","(Any 3 Suits, Matching Dragons)",X25
2468,3,2222 4444 6666 88,Blue:2222 4444 6666 88,(Any 1 Suit),X25
2468,4,222 444 6666 8888,"Green:222 444, red:6666 8888",(Any 2 Suits),X25
2468,5,FFFF 4444 6666 2 4,"Blue:FFFF, green:4444, red:6666, blue:2 4",(Any 3 Suits),X25
2468,6,22 444 44 666 8888,"Green:22 444, red:44 666, blue:8888",(Any 3 Suits),X25
2468,7,DDDD 22 444 666 88,Blue:DDDD 22 444 666 88,"(Any 1 Suit, Matching Dragons)",X25
2468,8,FF 222 888 444 666,"Blue:FF, green:222 888, red:444 666","(Any 2 Suits, Concealed)",C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,FF 1111 1111 1111,"Blue:FF, green:1111, red:1111, blue:1111","(Any 3 Suits, Any Like Nos.)",X25
ANY LIKE NUMBERS,2,FF 1111 DD 1111 DD,"Blue:FF, green:1111 DD, red:1111 DD","(Any 2 Suits, Matching Dragons, Any Like Nos.)",X25
ANY LIKE NUMBERS,3,FFFFF 11 111 1111,"Blue:FFFFF, green:11, red:111, blue:1111","(Any 3 Suits, Any Like Nos.)",X25
,,,,,
,,,,,
QUINTS,1,DDDD 11111 FFFFF,Blue:DDDD 11111 FFFFF,"(Any 1 Suit, Any Like Nos.)",X40
QUINTS,2,11 22 33333 33333,"Green:11 22, red:33333, blue:33333","(Any 3 Suits, Any Consec. Nos.)",X45
QUINTS,3,11111 3333 55555,Blue:11111 3333 55555,"(Any 1 Suit, Any Consec. Nos.)",X45
QUINTS,4,11111 22 33 44444,Blue:11111 22 33 44444,"(Any 1 Suit, Any Consec. Nos.)",X45
,,,,,
,,,,,
CONSECUTIVE RUN,1,22 33 444 555 6666,Blue:22 33 444 555 6666,"(Any 1 Suit, Any Consec. Nos.)",X25
CONSECUTIVE RUN,2,FFFF 1111 22 3333,"Blue:FFFF, green:1111, red:22, blue:3333","(Any 1 or 3 Suits, Any Consec. Nos.)",X25
CONSECUTIVE RUN,3,111 222 3333 4444,"Green:111 222, red:3333 4444","(Any 2 Suits, Any Consec. Nos.)",X25
CONSECUTIVE RUN,4,111 2222 333 DDDD,Blue:111 2222 333 DDDD,"(Any 1 Suit, Matching Dragons, Any Consec. Nos.)",X25
