2024 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
2024,1,222 000 222 4444,"Green:222, blue:000, red:2222 4444",(Any 2 Suits),X25
2024,2,FFFF 2222 0000 24,"Blue:FFFF, green:2222, blue:0000, red:2 4",(Any 2 Suits),X25
2024,3,FF 2024 2222 2222,"Blue:FF, green:2024, red:1111, blue:1111","(Any 3 Suits, Any same kongs 2s or 4s)",X25
2024,4,NN EEE 2024 WWW SS,Blue:NN EEE 2024 WWW SS,(2024 all one Suit),C30
,,,,,
,,,,,
2468,1,(222 444) (6666 8888),Blue:(222 444) (6666 8888),(Any 1 or 2 Suits),X25
2468,2,(22 444) (44 666) (8888),"Green:22 444, red:44 666, blue:8888",(Any 3 Suits),X25
2468,3,22 44 666 888 DDDD,Blue:22 44 666 888 DDDD,(Any 1 Suit Matching Dragon),X25
2468,4,FFFF (4444) (6666) (24) or FFFF (6666) (8888) (48),"Blue:FFFF, green:6666, red:8888, blue:4 8",(Any 3 Suits),X25
2468,5,FF 2222 (44 66) 8888,"Blue:FF, green:2222, red:44 66, green:8888","(Any 1 or 2 Suits, if 2 Suits 2222 and 8888 go together)",X25
2468,6,FF (222 44 666) (88) (88),"Blue:FF, green:222 44 666, red:88, blue:88",(Any 3 Suits),C35
,,,,,
,,,,,
ANY LIKE NUMBERS,1,FFFF 111 1111 111,"Blue:FFFF, green:111, red:1111, blue:111","(Any 3 Suits, like Nos.)",X25
ANY LIKE NUMBERS,2,11 DDD 11 DDD 1111,"Green:11 DDD, red:11 DDD, blue:1111","(Any 3 Suits, Dragons match)",X25
ANY LIKE NUMBERS,3,FF 1111 NEWS 1111,"Blue:FF, green:1111, blue:NEWS, red:1111",(Any 2 Suits),X25
,,,,,
,,,,,
ADDITION HANDS,1,FF 1111 6666 7777,Blue:FF 1111 6666 7777,(Any 1 Suit),X25
ADDITION HANDS,2,2222 5555 7777,Blue:2222 5555 7777,(Any 1 Suit),X25
ADDITION HANDS,3,3333 4444 7777,Blue:3333 4444 7777,(Any 1 Suit),X25
,,,,,
,,,,,
QUINTS,1,FF 11111 22 33333,Blue:FF 11111 22 33333,"(Any 1 Suit, Consec.)",X40
QUINTS,2,11111 NNNN 88888,"Green:11111, blue:NNNN, red:00000","(Any 2 Suits, Any non-Matching Nos., Any wind)",X40
QUINTS,3,11 22222 11 22222,"Green:11 22222, red:11 22222","(Any 2 Suits, Any Consec. Nos.)",X45
QUINTS,4,FFFFF DDDD 11111,"Blue:FFFFF, red:DDDD, blue:11111",(Any 3 Suits),X40
,,,,,
,,,,,
CONSECUTIVE RUN,1,111 22 3333 44 555 or 555 66 7777 88 999,Blue:111 22 3333 44 555 or 555 66 7777 88 999,(Any 1 Suit),X25
CONSECUTIVE RUN,2,11 222 DDDD 333 44,"Green:11 222, red:DDDD, green:333 44","(Any Consec., opposite Dragon)",X25
CONSECUTIVE RUN,3,FF (1111) (2222) (3333),"Blue:FF, green:1111, red:2222, blue:3333",(Any 1 or 3 Suits),X25
CONSECUTIVE RUN,4,(1 22 3333) (1 22 3333),"Green:1 22 3333, red:1 22 3333","(Any 2 Suits, Consec. nums)",X30
CONSECUTIVE RUN,5,11 22 333 444 DDDD,Blue:11 22 333 444 DDDD,"(Any 1 Suit, Matching Dragon, Consec.)",X25
CONSECUTIVE RUN,6,FFFFF 123 444 444,"Blue:FFFFF, green:1 2 3, red:444, blue:444","(Any 3 Suits, Consec.)",X30
CONSECUTIVE RUN,7,(111 222) (3333 4444),"Green:111 222, red:3333 4444",(Any 1 or 2 Suits),X25
CONSECUTIVE RUN,8,(111 222) (111 222) (33),"Green:111 222, red:111 222, blue:33",(Any 3 Suits),C30
,,,,,
,,,,,
