2026 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
,,,,,
,,,,,
2026,1,222 000 2222 6666,"green:222, blue:000, red:2222 6666",(Any 2 Suits),X25
2026,2,2026 DDD 2222 DDD,"Green:2026 DDD, red:2222 DDD","(Any 2 Suits w Matching Dragons, Kong 2 or 6)",X25
2026,3,FFF 2026 222 6666,"Blue:FFF, green: 2026, red:222, blue:6666",(Any 3 Suits),X25
2026,4,22 00 222 666 NEWS,"Green:22, blue:00, red:222 666, blue:NEWS",(Any 2 Suits),X30
,,,,,
,,,,,
2468,1a,222 444 6666 8888,Blue:222 444 6666 8888,(Any 1 Suit),X25
2468,1b,222 444 6666 8888,"Green:222 444, red:6666 8888",(Any 2 Suits),X25
2468,2,FF 2222 44 66 8888,"Blue:FF, green:2222, red:44 66, green:8888",(Any 2 Suits),X30
2468,3,EE 22444 666 88 WW,Blue:EE 22 444 666 88 WW,"(Any 1 Suit, East and West Only)",X30
2468,4,2222 DDD 8888 DDD,"Green:2222 DDD, red:8888 DDD","(Any 2 Suits w Matching Dragons, These Nos. Only)",X25
2468,5,FFF 22 44 666 8888,Blue:FFF 22 44 666 8888,(Any 1 Suit),X25
2468,6,2468 2222 D 2222D,"Green:2468, red:2222 D, blue:2222 D","(Any 3 Suits, Kong 2,4,6, or 8 w Matching Dragon)",X25
2468,7,FFF 2468 FFF 2222,"Blue:FFF, green:2468, blue:FFF, red:2222","(Any 3 Suits, Kong 2,4,6, or 8)",X30
2468,8,FF 246 888 246 888,"Blue:FF, green:246 888, red:246 888",(Any 2 Suits),C30
,,,,,
,,,,,
ANY LIKE NUMBERS,1,1111 FFFFFF 1111,"Green:1111, blue:FFFFF, red:1111",(Any 2 Suits),X30
ANY LIKE NUMBERS,2,1111 D 111 D 1111 D,"Green:1111 D, red:111 D, blue:1111 D",(Any 3 Suits w Matching Dragon),X25
ANY LIKE NUMBERS,3,FF 1111 11 1111 DD,"Blue:FF, green:1111, red:11, blue:1111, green:DD",(Any 3 Suits w Any Dragon),X25
,,,,,
,,,,,
QUINTS,1,11111 1111 11111,"Green:11111, red:1111, blue:11111","(Any 3 Suits, Any Like Nos.)",X40
QUINTS,2,FF 11111 22 33333,Blue:FF 11111 22 33333,"(Any 1 Suit, Any 3 Consec. Nos.)",X45
QUINTS,3,11111 44444 DDDD,"Green:11111 44444, red:DDDD","(Any 2 Nos. In Any 1 Suit w Opp, Dragon)",X40
,,,,,
,,,,,
CONSECUTIVE RUN,1a,11 222 33 444 5555,Blue:11 222 33 444 5555,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,1b,55 666 77 888 9999,Blue:55 666 77 888 9999,"(Any 1 Suit, These Nos. Only)",X25
CONSECUTIVE RUN,2a,FFF 1111 234 5555,Blue:FFF 1111 234 5555,"(Any 1 Suit, Any 5 Consec. Nos.)",X25
CONSECUTIVE RUN,2b,FFF 1111 234 5555,"Blue:FFF, green:1111, red:234, green:5555","(Any 2 Suits, Any 5 Consec. Nos.)",X25
CONSECUTIVE RUN,3,11 22 111 222 3333 ,"Green:11 22, red:111 222, blue:3333","(Any 3 Suits, Any 3 Consec. Nos.)",X25
